"","Bee.01.16S.repl1.R1.fastq","Bee.01.16S.repl2.R1.fastq","Bee.02.16S.repl1.R1.fastq","Bee.02.16S.repl2.R1.fastq","Bee.03.16S.repl1.R1.fastq","Bee.03.16S.repl2.R1.fastq","Bee.04.16S.repl1.R1.fastq","Bee.04.16S.repl2.R1.fastq","Bee.05.16S.repl1.R1.fastq","Bee.05.16S.repl2.R1.fastq","Bee.06.16S.repl1.R1.fastq","Bee.06.16S.repl2.R1.fastq","Bee.07.16S.repl1.R1.fastq","Bee.07.16S.repl2.R1.fastq","Bee.08.16S.repl1.R1.fastq","Bee.08.16S.repl2.R1.fastq","Bee.09.16S.repl1.R1.fastq","Bee.09.16S.repl2.R1.fastq","Bee.10.16S.repl1.R1.fastq","Bee.10.16S.repl2.R1.fastq","Bee.11.16S.repl1.R1.fastq","Bee.11.16S.repl2.R1.fastq","Bee.12.16S.repl1.R1.fastq","Bee.12.16S.repl2.R1.fastq","Bee.13.16S.repl1.R1.fastq","Bee.13.16S.repl2.R1.fastq","Bee.14.16S.repl1.R1.fastq","Bee.14.16S.repl2.R1.fastq","Bee.15.16S.repl1.R1.fastq","Bee.15.16S.repl2.R1.fastq","Bee.16.16S.repl1.R1.fastq","Bee.16.16S.repl2.R1.fastq","Bee.17.16S.repl1.R1.fastq","Bee.17.16S.repl2.R1.fastq","Bee.18.16S.repl1.R1.fastq","Bee.18.16S.repl2.R1.fastq","Bee.19.16S.repl1.R1.fastq","Bee.19.16S.repl2.R1.fastq","Bee.20.16S.repl1.R1.fastq","Bee.20.16S.repl2.R1.fastq","Bee.21.16S.repl1.R1.fastq","Bee.21.16S.repl2.R1.fastq","Bee.22.16S.repl1.R1.fastq","Bee.22.16S.repl2.R1.fastq","Bee.23.16S.repl1.R1.fastq","Bee.23.16S.repl2.R1.fastq","Bee.24.16S.repl1.R1.fastq","Bee.24.16S.repl2.R1.fastq","Bee.25.16S.repl1.R1.fastq","Bee.25.16S.repl2.R1.fastq","Bee.26.16S.repl1.R1.fastq","Bee.26.16S.repl2.R1.fastq","Bee.27.16S.repl1.R1.fastq","Bee.27.16S.repl2.R1.fastq","Bee.28.16S.repl1.R1.fastq","Bee.28.16S.repl2.R1.fastq","Bee.29.16S.repl1.R1.fastq","Bee.29.16S.repl2.R1.fastq","Bee.30.16S.repl1.R1.fastq","Bee.30.16S.repl2.R1.fastq","Bee.31.16S.repl1.R1.fastq","Bee.31.16S.repl2.R1.fastq","Bee.32.16S.repl1.R1.fastq","Bee.32.16S.repl2.R1.fastq","Bee.33.16S.repl1.R1.fastq","Bee.33.16S.repl2.R1.fastq","Bee.34.16S.repl1.R1.fastq","Bee.34.16S.repl2.R1.fastq","Bee.35.16S.repl1.R1.fastq","Bee.35.16S.repl2.R1.fastq","Bee.36.16S.repl1.R1.fastq","Bee.36.16S.repl2.R1.fastq","Bee.37.16S.repl1.R1.fastq","Bee.37.16S.repl2.R1.fastq","Bee.38.16S.repl1.R1.fastq","Bee.38.16S.repl2.R1.fastq","Bee.39.16S.repl1.R1.fastq","Bee.39.16S.repl2.R1.fastq","Bee.40.16S.repl1.R1.fastq","Bee.40.16S.repl2.R1.fastq","BeeNCE.16S.repl1.R1.fastq","BeeNCE.16S.repl2.R1.fastq","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_0001","142","211","295","180","1158","1396","757","666","909","838","3955","3568","79","321","3152","2943","34","187","1345","1577","1876","2666","2056","2444","2834","3465","3396","3550","67","67","128","214","145","203","62","33","222","249","74","90","128","148","2015","1633","643","396","366","368","1182","1242","528","421","722","640","298","232","123","119","348","268","529","309","1937","1340","788","865","2453","2283","2269","2052","2227","1999","868","714","1355","1067","3109","2699","74","3056","411","456","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Gilliamella",NA
"ASV_0002","98","29","114","33","103","254","50","31","28","14","57","10","11969","10597","175","276","442","689","43","61","62","190","88","105","169","200","107","115","30","31","3232","3140","7293","7516","1400","1367","72","162","8761","7373","10720","9343","357","177","71","56","158","74","53","124","58","53","59","42","43","88","114","206","440","291","38","30","141","86","54","63","42","45","47","41","54","41","321","302","7","0","53","39","15","31","374","462","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASV_0003","560","684","695","786","1367","1744","752","692","2249","2545","1252","1281","85","167","909","929","36","100","1597","2090","892","1345","426","516","869","1136","1294","1493","120","61","56","89","83","97","2447","1971","2095","1744","117","112","131","87","1375","907","3467","1751","649","487","2026","2130","358","323","167","199","126","112","96","76","623","380","765","366","3792","2174","1897","1960","2700","2343","1511","1230","2132","1707","729","535","290","200","1157","918","63","1165","259","417","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","asteroides"
"ASV_0004","4502","5341","5009","5826","3134","4144","1618","1560","58","38","112","41","48","257","2375","2303","74","64","328","476","229","315","3299","3803","484","672","57","41","211","21","33","148","0","21","1620","1557","167","284","0","29","0","21","25","16","2675","1705","4203","2632","615","672","43","78","2570","2338","1765","1326","25","21","35","0","0","61","66","221","35","71","0","0","281","271","2858","2416","700","590","29","0","18","31","25","0","289","385","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Bartonella","apis"
"ASV_0005","197","277","502","649","478","679","1088","1000","30","21","375","303","92","77","438","427","23","62","20","0","1141","1732","430","539","226","268","413","490","66","39","66","76","41","58","1548","1583","26","44","0","0","22","0","338","250","635","417","305","310","972","964","159","151","368","387","91","56","0","0","53","54","28","39","2412","1678","1063","1055","4562","3911","335","278","776","611","1650","1193","531","412","157","162","35","339","158","207","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Bartonella",NA
"ASV_0006","226","258","85","0","220","290","22","18","49","0","22","22","0","49","165","138","56","122","53","39","186","245","832","943","667","846","777","781","38","13","28","0","0","76","52","0","0","0","0","13","22","27","2314","1872","320","185","0","32","59","74","41","0","431","395","213","202","0","0","105","104","167","104","353","256","0","71","384","291","254","299","2940","2343","231","185","1320","987","4954","4066","24","1786","193","208","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Snodgrassella","alvi"
"ASV_0007","0","0","0","0","0","0","13","7","0","57","0","67","0","0","0","0","0","11","0","0","250","374","292","382","0","0","11","14","0","5","0","0","0","0","0","0","0","0","0","0","0","8","8","8","0","0","0","0","54","189","288","117","30","83","22","0","5936","5168","7516","4989","1587","1131","70","12","0","0","121","122","0","26","27","0","477","338","0","0","387","313","0","24","380","517","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA
"ASV_0008","0","0","0","43","0","0","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","4982","3997","79","63","7967","5715","32","40","107","0","0","34","19","0","0","0","0","0","554","478","0","0","277","185","0","0","25","25","19","12","261","416","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","morganii"
"ASV_0009","275","339","546","748","226","269","814","803","93","101","0","0","47","0","0","0","0","44","876","1330","506","993","319","509","114","151","338","385","0","67","46","0","0","0","74","79","229","305","21","18","21","0","237","180","379","234","71","63","3225","3202","36","0","85","81","12","0","11","0","151","93","295","182","178","99","0","0","1084","1255","98","71","184","156","645","475","0","21","84","76","17","422","155","210","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0010","273","325","222","179","592","624","53","73","88","92","828","795","69","134","819","819","0","0","290","375","490","871","607","775","437","499","540","560","98","0","0","61","0","0","25","29","123","136","0","0","42","60","405","283","290","172","377","255","91","77","94","67","137","140","63","43","42","34","113","59","399","203","385","265","454","458","535","500","364","303","334","269","630","473","94","67","404","323","0","465","112","127","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","apis"
"ASV_0011","150","217","270","360","243","341","797","816","556","558","1035","900","40","92","360","392","70","69","810","1380","232","415","109","146","95","136","119","146","19","37","81","76","67","68","81","78","315","500","0","0","0","40","127","92","1483","1014","121","139","174","183","102","94","58","58","18","0","77","65","163","138","294","137","810","552","0","0","92","116","275","272","153","117","396","326","76","64","137","111","13","549","110","140","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0012","407","576","293","451","329","455","961","979","283","286","275","221","0","76","791","711","0","0","872","1365","438","836","111","149","137","145","392","449","109","0","0","70","68","64","58","80","143","217","0","0","0","0","0","0","251","163","1063","732","0","114","60","73","0","0","0","0","0","0","0","0","79","0","110","140","1719","1679","113","119","0","52","52","51","584","491","55","0","132","117","0","0","60","120","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","melliventris"
"ASV_0013","286","7","66","0","61","77","0","0","0","0","0","0","0","0","0","0","6386","10086","112","148","49","65","39","62","138","140","177","103","0","0","0","0","97","0","163","184","565","534","0","0","0","0","29","16","0","0","23","18","0","0","0","0","16","25","0","0","0","0","0","0","0","0","153","135","27","48","15","0","30","0","23","0","148","102","0","0","0","23","17","0","138","186","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA
"ASV_0014","17","10","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","91","12","7","0","0","0","39","26","10","0","10576","126","52","50","246","270","128","125","0","0","299","278","0","0","10","0","46","33","47","28","30","40","0","0","48","53","29","21","1575","1459","24","19","32","28","35","28","0","0","104","76","98","95","103","83","673","510","9","11","73","72","10","39","706","1002","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASV_0015","0","0","0","0","0","0","0","0","0","26","44","30","24","0","464","447","0","0","0","0","0","0","0","0","781","989","0","0","0","0","0","47","31","0","0","29","4617","4724","26","0","0","0","0","0","0","85","142","30","0","0","37","51","609","631","0","0","988","873","0","0","0","0","39","0","1525","1544","208","213","0","0","0","0","36","0","0","0","0","0","0","0","37","90","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Snodgrassella","alvi"
"ASV_0016","327","408","225","292","142","201","575","564","198","207","456","356","9","39","104","74","0","12","404","641","145","267","64","84","109","104","225","251","28","18","0","11","41","38","121","132","105","180","0","13","0","0","65","66","1611","1016","163","136","759","785","174","171","39","47","7","0","0","0","19","0","0","18","245","178","1432","1388","109","124","277","242","118","82","351","251","59","20","135","115","15","167","103","175","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0017","0","0","84","103","0","0","115","145","0","0","6","0","0","26","0","182","0","22","0","9","0","152","50","61","0","8","19","31","7","18","5404","5385","33","31","42","57","0","0","0","0","0","0","0","0","0","0","12","0","13","0","347","269","16","9","0","0","0","0","0","0","0","0","0","10","15","0","11","12","10","11","12","14","64","65","0","0","0","0","0","0","84","135","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia-Obesumbacterium",NA
"ASV_0018","126","196","0","0","307","413","315","333","60","101","964","873","0","84","0","0","0","27","125","201","195","447","0","0","148","182","144","163","0","0","0","0","0","32","67","43","817","1047","82","128","32","0","299","200","540","334","0","0","76","82","181","226","0","27","0","0","66","56","117","89","0","0","515","368","184","165","208","239","0","0","181","136","175","133","0","0","0","0","0","316","70","84","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0019","171","141","0","0","128","193","89","81","8","8","0","0","35","48","699","630","84","197","0","0","1048","1474","154","205","0","0","237","250","21","50","44","65","0","0","1004","1145","0","0","0","10","7","4","46","33","20","23","371","229","0","6","102","105","148","127","257","179","157","150","17","17","21","5","12","28","6","10","185","173","0","0","565","443","112","96","235","181","0","0","0","0","27","41","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Commensalibacter",NA
"ASV_0020","0","0","0","0","23","46","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","170","220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","149","117","0","0","0","0","0","0","0","0","4461","2900","0","0","25","18","62","49","32","0","0","18","374","272","0","0","0","0","16","0","86","120","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter",NA
"ASV_0021","0","0","14","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","81","0","0","0","0","0","0","0","3546","2852","661","560","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA
"ASV_0022","0","2","0","0","0","0","0","0","0","0","85","0","106","0","0","0","50","0","180","0","202","0","200","0","268","0","260","0","287","4","270","0","28","0","901","0","345","0","277","0","244","0","230","0","314","0","161","0","16","0","48","0","168","0","57","0","152","0","222","0","174","0","56","0","56","0","88","0","263","0","98","0","364","0","212","0","211","0","317","0","19","190","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia",NA
"ASV_0023","82","100","181","207","121","191","113","94","112","132","67","56","0","0","0","0","0","0","0","48","0","0","625","661","0","0","0","0","0","0","0","0","0","44","42","0","173","190","45","38","142","127","1197","925","0","0","0","0","0","0","226","187","112","90","0","0","0","0","0","27","0","0","31","0","0","0","0","0","359","310","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Frischella","perrara"
"ASV_0024","0","0","0","0","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","90","0","8","8","0","0","0","16","3572","2958","74","52","0","0","16","36","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cedecea",NA
"ASV_0025","111","158","165","192","171","189","93","87","27","29","139","137","0","29","18","0","0","0","0","0","170","255","145","150","37","42","0","0","0","0","0","0","0","0","165","125","95","91","0","0","21","21","150","109","274","144","109","53","66","57","147","111","45","63","44","29","0","0","21","18","147","90","53","47","216","227","173","143","154","135","26","24","42","23","108","80","93","84","0","77","0","29","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"ASV_0026","0","0","112","126","0","0","0","0","0","0","34","0","0","0","0","0","0","0","172","200","0","0","55","57","922","1217","0","0","0","0","0","0","0","0","0","0","181","229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1325","1171","0","0","0","0","0","0","158","163","38","0","0","0","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Commensalibacter",NA
"ASV_0027","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2506","1954","32","25","0","0","0","0","24","0","0","18","0","0","0","0","0","0","0","0","0","0","74","60","0","0","0","0","0","0","73","78","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia",NA
"ASV_0028","0","0","0","17","9","0","14","16","9","0","0","0","0","0","0","0","0","0","0","15","161","237","101","124","96","94","129","124","0","0","0","0","0","0","0","0","54","58","0","0","0","0","236","190","0","0","31","20","0","0","45","33","134","143","70","42","15","16","12","0","19","0","40","34","130","134","168","161","274","226","110","89","91","82","81","83","217","172","13","208","28","33","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Snodgrassella","alvi"
"ASV_0029","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","359","341","0","0","0","0","0","0","120","76","0","3","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1891","1632","10","0","11","3","0","0","3","47","52","0","3","8","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV_0030","47","0","84","0","359","0","1276","0","66","0","376","0","784","0","118","0","0","0","1006","0","47","0","0","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia",NA
"ASV_0031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1585","1966","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Commensalibacter",NA
"ASV_0032","0","0","0","0","0","21","0","0","1404","1515","40","48","0","0","0","0","0","0","0","0","0","0","0","0","43","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus",NA
