"","Bee.02.16S.R1.fastq","Bee.03.16S.R1.fastq","Bee.04.16S.R1.fastq","Bee.05.16S.R1.fastq","Bee.06.16S.R1.fastq","Bee.07.16S.R1.fastq","Bee.08.16S.R1.fastq","Bee.09.16S.R1.fastq","Bee.10.16S.R1.fastq","Bee.11.16S.R1.fastq","Bee.12.16S.R1.fastq","Bee.13.16S.R1.fastq","Bee.14.16S.R1.fastq","Bee.15.16S.R1.fastq","Bee.16.16S.R1.fastq","Bee.17.16S.R1.fastq","Bee.18.16S.R1.fastq","Bee.19.16S.R1.fastq","Bee.20.16S.R1.fastq","Bee.21.16S.R1.fastq","Bee.22.16S.R1.fastq","Bee.23.16S.R1.fastq","Bee.24.16S.R1.fastq","Bee.25.16S.R1.fastq","Bee.26.16S.R1.fastq","Bee.27.16S.R1.fastq","Bee.28.16S.R1.fastq","Bee.29.16S.R1.fastq","Bee.30.16S.R1.fastq","Bee.31.16S.R1.fastq","Bee.32.16S.R1.fastq","Bee.33.16S.R1.fastq","Bee.34.16S.R1.fastq","Bee.35.16S.R1.fastq","Bee.36.16S.R1.fastq","Bee.37.16S.R1.fastq","Bee.38.16S.R1.fastq","Bee.39.16S.R1.fastq","Bee.40.16S.R1.fastq","BeeNCE1.16S.R1.fastq","BeeNCE2.16S.R1.fastq","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_0001","455","2540","1423","1736","7519","397","6084","218","2894","4525","4498","6295","6925","134","339","339","95","470","163","261","3643","1036","731","2403","949","1362","528","241","616","838","3265","1651","4708","4308","4143","1579","2422","5599","3129","411","456","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Orbaceae","Gilliamella",NA
"ASV_0002","136","351","75","36","66","22551","430","1127","102","250","179","365","222","53","6366","14774","2770","234","16125","20054","532","122","227","173","111","101","123","319","725","54","222","115","87","88","95","623","13","88","33","374","462","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASV_0003","1417","3090","1431","4789","2523","239","1743","136","3643","2236","874","2004","2766","181","144","178","4289","3799","211","218","2277","5212","1136","4151","681","366","238","169","994","1131","5928","3844","5014","2662","3823","1246","437","2065","1221","259","417","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","asteroides"
"ASV_0004","10814","7240","3152","96","153","307","4662","138","777","541","7048","1149","98","232","180","37","3123","451","26","23","41","4349","6822","1264","120","4905","3091","37","42","71","287","105","22","568","5223","1279","39","49","41","289","385","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"ASV_0005","1149","1151","2071","51","678","167","858","82","32","2854","965","492","898","105","138","96","3112","70","22","20","588","1049","613","1888","303","755","148","0","97","65","4038","2085","8414","608","1374","2819","929","319","374","158","207","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Bartonella",NA
"ASV_0006","87","509","40","72","44","42","303","167","84","431","1758","1511","1553","47","33","58","61","0","0","49","4102","504","39","133","56","826","401","0","204","264","592","73","675","551","5287","403","2305","9020","1810","193","209","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Snodgrassella","alvi"
"ASV_0007","0","0","20","59","62","0","0","11","0","603","622","11","25","0","8","0","0","0","0","12","15","0","14","241","407","84","25","11104","12502","2716","82","0","241","59","28","807","0","685","38","380","517","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",NA
"ASV_0008","43","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","8972","142","13675","70","118","43","24","0","0","1028","14","462","0","48","31","261","416","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","morganii"
"ASV_0009","1245","496","1607","194","39","56","0","59","2173","1487","829","264","719","44","38","0","153","525","39","38","415","621","131","6312","52","163","25","16","237","443","281","0","2300","129","337","1116","36","160","436","155","210","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV_0010","401","1210","126","180","1618","198","1608","0","662","1358","1355","936","1099","117","82","30","54","258","0","102","651","463","631","165","161","278","106","76","172","602","652","911","1032","664","600","1075","161","725","476","112","127","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","apis"
"ASV_0011","69","138","0","0","8","0","0","16461","260","112","101","278","280","0","0","111","348","1097","0","0","45","22","41","16","0","35","0","0","10","0","288","74","25","42","38","241","0","45","24","138","186","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA
"ASV_0012","582","584","1600","1102","1930","120","749","104","2178","648","222","231","265","54","100","130","159","798","0","64","219","2478","207","355","196","106","39","138","265","424","1358","62","207","499","269","723","138","248","560","110","140","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
